	P9	P11	P12	P15	P19	P21	P22	P24	P30	P1	P27	P3	P4	P7
HLA.F.AS1	14.24643668	11.94052868	13.01184107	11.96171739	8.172379097	15.04426894	13.58882944	14.14652849	12.52312492	14.10837223	11.72612181	13.14173414	13.02951292	11.98101125
HGF	15.94905077	15.11045368	18.23974347	14.63978929	15.73462152	13.5548841	16.38500062	16.98950733	16.22356464	15.58641952	14.6430983	16.76622501	17.60586229	14.44044287
ID2	16.8868943	16.52549118	17.29194899	18.84374899	19.28677215	18.35229622	16.7544155	17.68878654	16.44437081	17.80616722	18.82760579	20.30295002	20.66302716	16.8636543
CD44	20.2753178	15.13317376	14.1430856	15.04918023	14.72696795	14.85444438	17.35951565	14.3164535	20.79482138	17.63193418	14.87686419	16.14173414	15.43161136	15.06847409
CCL17	16.71866958	18.89887424	16.9324066	16.27278449	15.45778132	16.19429439	16.20592456	16.51808736	17.99398712	16.99217921	15.9749534	18.43941469	18.48660059	15.56597375
MKI67	21.1309963	20.30403771	18.08100309	21.57172714	21.3306732	21.85690782	19.93970891	21.02672422	21.5928432	20.56624164	21.58643605	20.69273738	20.35850834	20.40727601
IL1B	18.45665439	20.8916052	18.53540302	16.55865253	19.11122355	17.36619704	17.73692808	19.03648869	17.88594545	17.62894414	17.67869104	18.55902409	18.73982738	19.89987449
IRS1	20.92936244	21.32854596	21.58296164	20.40217133	19.69201535	20.3261196	21.71113278	22.18928226	20.6925489	20.80086319	20.14010209	21.25512905	21.15769141	19.83276029
POU2AF1	18.81360987	16.72936351	16.76418189	18.13364474	18.35973117	18.58406513	17.38780469	18.22547984	20.31591522	20.72658291	18.35914701	20.54204436	20.67130664	13.56597375
IL1A	15.94033355	19.06612665	14.57371996	12.96171739	14.77229194	11.85444438	17.19315726	15.09138694	15.99561269	12.41649452	13.19615124	16.02925941	15.90865852	17.44044287
ID3	17.0975733	18.04306684	18.56496748	16.99072847	17.08526843	15.52686973	16.60819476	17.65749041	17.30972128	17.01983555	16.53428888	16.91432365	17.45577767	17.47286435
CD22	17.27445106	16.34749288	14.66391777	17.70318437	15.76483613	16.26383532	15.92627053	17.66065075	17.45386226	17.942467	16.57728527	18.9054998	21.00965249	10.98101125
CD63	22.78323622	23.60776697	24.49915475	22.33278612	22.29050907	23.28672528	24.49979622	24.09072809	23.38386275	22.69797879	22.63667349	24.12163563	23.65991007	23.85426309
SNAI2	20.35700955	20.32268949	20.01076724	19.79175716	18.57964686	17.36223903	17.62255006	18.51110093	19.94771115	19.76454168	18.57788102	18.57913945	18.98370923	20.78675512
PECAM1	17.26400931	18.93245538	18.07690452	14.01482872	20.62590696	19.75907901	22.55905195	16.29220595	16.58490112	16.72728206	18.13327156	18.95423237	16.62303743	21.74588284
IFITM2	20.14955059	21.53565293	21.39348701	18.88236798	20.87714734	19.5548841	20.07155565	20.85767921	19.93166696	20.15068303	19.77146647	20.51851071	20.86691559	21.31640161
IKZF4	13.52820765	12.45510185	12.31996336	13.34022901	14.64811253	13.94190723	14.99408592	13.5794879	14.30972128	15.30101731	13.97674959	15.55677164	14.50756021	10.98101125
IL3RA	18.06185137	18.04006435	18.58530793	17.35059573	17.88146291	17.6358041	16.11408569	18.18873505	17.17274038	18.25908663	17.62262091	18.00302787	19.36936292	16.68145097
LAMP1	20.1556827	19.60383263	20.50902761	19.69710417	19.16673253	18.83601167	20.26125478	20.08080909	20.12154968	20.14755241	19.23328279	19.22068548	19.6989042	20.39886377
BCL6	23.13093644	20.77341869	21.3195298	20.95720191	20.54578806	20.3828985	22.09254776	22.08125138	21.81774567	21.23642794	20.62862949	20.67985839	20.62250379	20.1855824
PMEL	14.0975733	13.83361348	15.20448615	14.81969838	14.90029955	15.85444438	14.23735707	16.39445601	15.91544234	15.14231956	15.19148077	15.09282454	12.80712049	10.98101125
TRIM29	24.31571532	16.51687805	15.4650137	22.30318061	19.45430912	20.0473536	18.59733377	15.3164535	23.37616151	21.58352661	20.60161444	16.93528327	9.222157994	18.38189069
GUSB	20.20655222	20.54415502	20.60109093	20.7684281	20.4485035	21.39239075	20.86495384	21.11778463	20.31754079	20.68039567	20.86977412	20.66320372	20.80053069	20.06581964
FCGR2B	15.6825358	15.74050407	16.56789088	14.73782137	13.1723791	14.66179931	15.61778081	15.86899452	17.44198816	16.45752179	14.19066659	17.57913945	17.95347702	10.98101125
ISG15	19.30533037	20.52092186	20.37064923	18.64891808	20.8777955	18.83172431	20.24007511	18.63517203	18.80760204	19.97520957	19.45281263	20.36025702	20.78249083	21.40622715
MAGEC2	8.57401134	8.133173757	20.52453451	9.961717387	19.16319218	12.02436939	8.379376073	18.39065444	8.201196826	8.716054805	13.71642632	9.234843547	9.222157994	10.98101125
CCL20	20.93046331	19.18642088	15.41393951	15.84924266	17.48299188	16.66179931	16.76308037	17.6255003	20.30448463	17.56780385	16.66467795	17.49223139	17.87320969	15.62486744
TFRC	24.98924145	21.47260625	20.96631437	24.16801445	22.09124233	24.04831621	21.91209725	23.27291033	24.22836851	24.37602283	23.43585766	22.13476686	22.26962277	21.68404964
IL6	14.80283003	19.92515058	17.70433203	12.9973413	16.78708894	16.25532382	15.8551095	18.77734165	16.35094395	16.56780385	15.34658469	15.30093274	16.28824718	17.56597375
B3GAT1	14.50474868	12.13317376	17.84834234	11.96171739	12.63181072	14.8086407	14.07981579	15.2675439	13.20119683	14.67025112	13.13405627	12.23484355	15.19943792	16.70893171
CXCL1	22.24378223	23.0831828	17.70433203	19.65450722	21.99096127	20.70384949	23.36681775	22.13365036	20.37080871	20.72728206	20.78310599	18.99139987	19.03914162	21.61036787
MTOR	19.67006758	19.59209296	18.89681105	18.93441004	19.45314987	19.98822879	20.19395854	18.90275121	19.53770339	19.62969223	19.45859623	19.79899304	19.71501261	19.03629369
IFNA17	14.93156334	16.49949597	17.19317083	9.224751792	18.41317043	17.40133884	17.46152511	10.4095629	13.98255654	12.0379829	15.01308702	17.68192677	9.222157994	21.07904333
ADORA2A	14.50474868	12.94052868	14.5021667	14.26914591	15.07926969	14.85444438	14.16073579	12.52504012	13.33047984	14.90587936	14.73428666	16.41475264	16.86601418	14.68145097
LCK	10.15897384	12.2206366	15.55026098	11.88771681	15.10311643	12.17637248	13.23735707	16.20830469	12.00855175	15.41649452	13.05573524	12.55677164	11.54408609	10.98101125
CDKN3	12.27445106	12.65673571	11.42687857	16.37110832	13.78708894	12.43940689	11.83880769	12.91206324	13.05917782	13.17548642	14.19920138	14.98973105	14.30962084	12.56597375
PGF	18.81360987	17.77341869	19.40660997	15.39467679	16.78708894	17.66179931	15.39060333	17.07726583	18.35094395	16.56154486	16.61452168	16.80469916	17.02305789	18.94101318
MAGEA12	8.57401134	8.133173757	15.0457884	9.961717387	17.16673253	15.1398466	8.379376073	13.28403202	8.201196826	15.07360681	14.08943217	9.234843547	9.222157994	16.78836617
LEXM	15.18872118	13.55943851	12.42687857	13.39467679	13.1723791	12.313876	13.54930107	14.75533774	14.54104683	13.41649452	12.96031063	13.69427517	14.02951292	10.98101125
