	P9	P11	P12	P15	P19	P21	P22	P24	P30	P1	P27	P3	P4	P7
ITGAE	17.92495052	17.54891553	17.35423327	18.07754136	16.31193045	17.30152761	18.00325756	18.89337868	18.7691529	18.85943802	17.23033314	18.57469355	18.66717284	17.94679554
IL2RG	19.12668044	18.16934737	18.93127196	19.33458245	18.36467191	18.18536126	18.38078427	19.86967745	20.10958945	20.80384911	18.62820521	21.20170945	21.56395477	20.10771572
IFI35	17.95771563	19.2338361	19.37357601	17.3210277	18.64100314	17.7940236	17.81816793	19.38110645	19.53379288	20.22335393	17.91868481	19.71865932	19.82485686	20.94390726
IKZF1	20.25173098	19.67668897	18.99890201	19.68281658	18.7667037	19.09523572	19.06937404	20.67751999	20.62850967	21.45309084	19.18158533	21.6955554	21.96867232	20.95685922
CD69	18.52675259	17.91617197	19.20917479	17.75353146	18.11635901	16.8768122	17.53924741	19.74569749	19.79271917	19.45499149	17.58223422	20.1235868	20.70849025	19.64634717
CXCL10	19.9506794	18.71248969	17.51434141	19.21485576	21.00190365	20.66662169	17.8551095	20.12609659	21.18401219	22.43544363	20.29446037	22.86897392	22.69218129	23.10771572
CD247	17.3121036	16.277832	16.0457884	16.72990171	16.22222765	16.2207666	15.36806076	17.22974186	17.87008181	18.57714171	16.39096532	18.78173801	19.40827223	18.68837038
STAT1	22.14694837	21.42592675	21.62356851	21.93505601	21.68326686	22.08221073	22.34705265	22.15579728	23.30509929	24.13387436	21.90017787	23.82730058	23.65319848	23.65255232
IRF1	19.86403019	19.59106759	19.68897341	18.53157299	20.05272791	19.20979548	19.0763436	20.16110696	20.62981871	21.26535817	19.26469879	20.75595319	21.16833323	22.41720225
IFNG	14.21786753	11.94052868	12.78944865	14.86860798	14.38183246	13.9837274	12.7716935	14.49702574	16.31493899	19.15172507	14.41138928	17.87146817	17.83318279	18.45674468
PDCD1LG2	18.08971118	18.75339358	18.63633193	16.87819403	17.97489546	17.12590741	17.79722859	18.39824759	18.69104479	19.30570595	17.3263323	19.15668448	19.74571995	19.62125619
CSF2RB	20.20200112	19.92107632	19.80253865	19.38167756	20.43212236	19.23814868	19.64323209	20.71866025	20.24080134	21.54061583	19.68398287	21.2337865	21.66328662	21.77867278
HLA.F	16.55700491	15.97237755	16.57952558	15.51630624	16.03656524	16.86567164	17.22799901	17.47565209	17.37112183	17.15484666	16.13951437	17.27923767	17.562008	18.48085714
HAVCR2	18.07385723	18.7423525	19.16834555	18.12158872	18.90369813	18.3240862	19.26735821	19.77369756	19.50953586	19.84726871	18.44979102	20.72418979	20.6779989	21.00753469
TAP1	20.9373248	20.29525033	21.11837285	20.00392395	20.40689718	21.21309559	20.53514301	21.40744803	21.96834674	22.00967014	20.54130557	22.25946381	22.21261656	23.70275131
IL15	15.70329436	16.24169821	15.59680357	13.80971429	15.05502215	15.90972682	15.89507591	16.38684282	16.74035564	17.83239877	14.92482109	16.5386243	17.21651143	17.73589875
TYROBP	22.5087158	23.12513841	23.84518298	21.94755932	22.21086947	22.10725763	23.25286825	24.5417145	23.34238595	23.54800526	22.08856214	24.97844203	24.7779454	24.59341904
CD3D	20.18365181	18.16384089	18.44289089	19.35188634	18.5122291	18.32204993	18.20433481	19.64398119	20.17525285	20.77911277	18.72872179	21.15482414	21.93124181	20.76400946
CD226	18.18319008	16.75155926	16.83384277	16.85167759	15.76483613	17.08806406	17.55180358	18.00201994	18.31363633	19.09218019	16.56819259	19.21641083	18.99694505	18.16092034
SIT1	16.81718532	15.32299832	15.11137674	16.18668375	16.42504453	15.313876	15.03758756	16.44665222	16.95608433	18.21390664	15.97520143	18.01947839	18.49362102	17.88790185
PDCD1	16.00027609	14.65673571	14.76927077	15.03210671	15.42030661	14.6873344	15.21226609	16.35598186	17.03724718	18.73703474	15.04658257	16.60116576	17.89104298	18.94101318
AIF1	18.54555489	19.7307608	19.56203815	18.76649376	18.98053887	18.18311931	19.38289398	20.37630866	19.90380243	19.98868459	18.64338398	21.2826491	21.23582961	20.45876952
CYBB	20.10441768	20.77905731	21.00214767	19.55976989	20.16070875	19.29842393	20.26201912	21.37366306	21.07079067	21.38759587	19.67296752	22.03897457	22.63869165	22.91580784
GZMB	16.92715817	16.55523852	15.01184107	17.5823038	18.62770632	14.52686973	14.97928891	17.89606276	19.27868018	19.99276082	16.91229328	18.80469916	19.20229757	19.8575282
VCAM1	18.9337609	19.54362511	19.47361283	19.78985387	18.52110725	18.395541	19.89409013	21.41144019	20.17740292	20.84243664	18.90216737	20.95850449	21.46711639	19.78836617
TBX21	16.32220419	13.41857598	14.07895526	15.44068919	16.68413175	13.43940689	14.46683891	15.91206324	16.56751904	18.09543317	15.18807594	17.21212347	17.95007845	18.89987449
TLR9	15.34219566	14.59260538	14.8093482	15.62847398	15.65619487	14.28070914	16.00873269	16.56606739	16.15539314	16.84533782	15.18845933	17.17735805	18.19657258	16.56597375
CXCL9	19.31968566	16.38583919	18.27773513	20.6168903	20.69373416	19.8988385	17.02323226	19.79686225	21.06731662	24.02350468	20.40315432	23.38776212	23.89364378	22.44912614
MX1	21.81971259	19.94735564	19.98037073	19.59834201	20.85931727	20.44596673	19.9127058	21.15327533	21.1183824	21.97741519	20.30120867	21.49164193	21.77602724	20.96827526
SAMHD1	20.98419766	20.21897814	20.83899471	20.47366766	20.86281365	20.34429235	20.22054726	21.68083138	20.76152966	21.36777924	20.56025789	22.01579335	22.50886013	21.89689063
EBI3	14.80283003	15.69541618	13.61952365	14.5823038	12.87281882	14.6873344	12.83880769	14.75533774	16.51407978	16.04697168	14.04748567	16.80469916	16.94325718	17.33856326
GZMK	17.97061612	15.20998935	16.11936953	17.18282111	15.30166211	15.82022867	15.64616261	17.84419113	17.42760902	19.09651587	16.10157063	19.53175975	19.96783232	18.7292041
CD37	19.23756944	18.66650349	18.43970261	18.84252533	17.4485035	17.64560727	18.92819798	19.65511561	20.00814915	20.25957002	17.9788787	20.69734582	21.47630084	19.9725331
TNFRSF9	17.85478211	18.98804214	16.87691149	17.04280132	17.0732459	18.23598734	16.97183311	18.73748974	19.11483425	20.33444031	17.45067819	20.75742508	20.1901047	18.8575282
HLA.E	23.38091334	23.28407134	24.11918271	22.53498586	22.73736214	23.30262523	23.72426142	23.83140858	23.71945041	24.26812346	22.85832441	24.54026409	24.68389322	24.85455149
CD8B	17.08180598	15.20998935	16.69633924	16.19053608	14.94056342	15.26383532	15.8551095	16.64477936	17.06847557	19.41995838	15.46497827	18.7465962	19.07858352	19.81706161
IGSF6	17.3121036	16.46856411	18.07895526	17.23224633	17.27304144	16.94190723	17.83675695	18.25922863	18.63060357	18.46424765	17.149065	19.41971889	19.3254458	18.45674468
SLAMF7	20.11122974	17.04606309	18.6039421	20.03826579	19.62307487	20.55921262	19.79722859	20.6883995	21.63816857	22.7257085	20.07351776	23.03998281	22.84432424	21.32197402
CD244	16.30193179	15.16659676	15.60820833	15.36770975	15.57325853	16.64234694	16.42922462	16.4095629	16.87362217	18.85943802	15.86110507	18.58799037	18.40455235	18.58092409
CD52	21.4784578	19.7882572	21.643278	21.49708998	19.97973402	19.27335112	21.03758756	22.68781875	21.68878567	23.213969	20.25005837	23.27204729	24.22008721	21.60854514
ADGRE5	20.19285564	20.73726362	20.29194899	18.7729315	19.10459385	19.35029941	20.38219109	20.96159151	20.9128638	20.59257175	19.07594159	21.5989782	21.42703476	21.75579831
EOMES	17.86633297	15.49072576	15.85792839	15.84924266	15.84480444	14.78518172	15.24974079	16.93834257	16.68903686	18.71040824	15.49307627	19.36798576	19.7700165	19.25713566
M6PR	22.29585818	21.2303829	22.11275366	21.25863359	20.73295077	21.50032794	22.10410307	22.45259018	22.11118364	22.19343363	21.16397077	22.41164003	22.36394584	22.73464587
CD48	18.16646838	16.79138524	16.8093482	18.38630361	17.20028509	17.01935131	16.71029295	19.02917154	18.63060357	19.3572034	17.53531334	20.25165183	21.50582516	18.46482703
SLAMF8	17.85941356	18.34018808	18.83990197	16.9367055	18.08676423	17.54444236	18.68315682	18.78025031	19.20260502	20.12332257	17.52263736	20.39723488	20.40827223	20.84983381
KLRB1	18.64278962	17.16384089	16.65844264	18.90891597	16.93725069	17.45063414	18.24201343	19.54398922	19.54215959	20.19835859	17.76560027	21.10057682	21.63287433	18.90582376
ICOS	16.1209058	14.59260538	13.37441115	16.46633778	14.69594105	14.71242538	15.0658766	16.57279325	17.21242408	17.82979697	15.29156807	18.32495597	18.82948831	15.78836617
LILRB1	15.72375846	16.32299832	16.98146742	15.23224633	16.24384146	16.21199639	16.17379194	16.98950733	17.43001552	17.55840515	15.89602806	17.73069857	17.85515319	19.46885129
IL17F	8.57401134	8.133173757	8.619523646	7.639789292	8.172379097	8.854444385	8.379376073	11.14652849	9.201196826	10.7160548	8.222204258	9.234843547	9.222157994	10.98101125
KLRK1	19.71356269	18.04755889	18.51434141	19.05235914	18.57219106	18.95773219	18.20909881	19.34325356	19.9051004	21.87624138	18.8607608	22.05262667	22.43237272	20.72752557
BST2	21.83566556	22.78444973	22.14651185	21.38041334	22.52896862	21.52443666	24.35690197	23.10595091	23.70759739	24.35086586	21.81127287	24.39931842	23.81724061	23.49720373
ITK	18.75143088	16.96289649	16.30602417	17.62135657	16.50329598	16.3056555	16.17379194	18.33041195	18.84324852	19.02097647	16.81010268	19.778842	19.84969188	18.48085714
CD83	18.00237151	17.23908227	19.72215553	16.99072847	17.70765447	18.08085658	18.33792879	19.27992762	18.83328324	19.72308207	17.59307984	19.02274611	19.56089438	18.62486744
PIK3CD	18.36842721	18.41973152	18.60536558	17.60701555	17.49655964	16.70619343	17.87722791	18.54398922	18.19555026	19.23470796	17.26992287	19.30630591	20.05662904	19.56221183
ITGB7	18.3941903	17.77883219	17.5021667	17.69642701	18.1352751	18.395541	18.22643342	18.34030024	18.85224852	19.23470796	18.0757477	20.08424865	20.31887315	20.14591818
KLRD1	16.74893702	18.95415045	16.83384277	17.07233119	16.64405431	15.483801	15.76308037	16.93312486	18.44793742	19.42341394	16.40006217	19.21355401	19.43526221	20.0226704
NCR1	12.03344296	12.77702995	10.94145174	12.09922091	14.72696795	12.76133498	8.379376073	13.52504012	13.84505302	14.54894482	13.19584128	14.69427517	15.74571995	16.91174859
CCL4	19.31968566	18.33896701	21.11487904	18.30778783	19.60439894	18.67940313	18.41829506	19.60759861	20.69079395	21.80434616	18.8638633	20.69785696	20.91390151	22.34130968
SRGN	20.99133646	22.36799119	22.1349771	20.64436091	21.64709904	20.30101079	21.46816431	23.08309283	22.0453141	22.66104133	20.86415691	22.57260481	22.84226324	23.60443554
GATA3	17.17763769	17.23646157	16.20448615	15.22475179	15.58177003	16.02436939	14.50865909	16.87444895	17.07156155	17.68759836	15.61029707	17.47324829	18.29093627	17.80119021
HERC6	18.50326975	17.88973008	17.80687572	17.46156327	18.32719721	18.20759121	17.85915634	18.80759397	18.72965094	19.7928704	17.9987839	19.66425029	19.97370205	18.09995232
CD80	18.96847403	19.75568321	19.77244222	18.39467679	19.33351098	19.84596623	19.93396492	19.79182666	20.03921888	19.82653811	19.19138467	20.90594227	20.81274504	20.5356001
LAPTM5	22.3225187	22.54455233	23.60278449	22.28510998	21.87097525	21.71959768	23.19995396	24.2218405	23.26362248	22.79236938	21.95856097	24.61841285	24.81927942	24.3359493
C10orf54	18.51359055	18.085915	19.30952162	17.1886112	18.52552592	17.77032376	18.00508492	19.21261769	18.91544234	18.94005648	17.82815363	18.99639478	19.74081115	20.25713566
CRTAM	16.66676848	11.59260538	14.52641424	16.56163023	13.9272666	13.71242538	15.22486612	16.36375921	16.25647926	18.5740358	14.73377407	19.14773288	19.3215058	16.62486744
CD33	17.20336796	18.27144556	17.11936953	16.50706803	16.68017374	16.96296884	17.88518763	18.50055743	17.51860944	17.77944989	16.71673687	19.28196746	19.35786728	18.67449821
IL21	11.74393634	8.133173757	8.619523646	12.22475179	12.1723791	8.854444385	10.96433857	12.8246004	14.41065019	16.28591041	11.08385843	14.90726889	15.9770455	10.98101125
CTSS	21.02083618	20.89014698	20.64223822	20.39801251	20.80650947	20.64397803	22.06379597	21.73505576	21.7922516	22.38814861	20.61616667	22.9283305	22.94315034	21.92205886
IFIT3	17.87550754	17.92921337	17.69900843	18.5406561	19.4710145	18.57212081	19.01327948	18.3343754	19.35030882	20.53583474	18.8612638	20.49869957	20.39957753	19.92645509
IFI27	20.80912805	19.94935744	20.56460164	19.76358738	21.11764002	18.38777412	18.65666347	20.64597579	20.90574895	20.71288133	19.75633384	20.75595319	21.1331754	22.16402625
CD79B	16.96202863	15.94052868	16.5910672	16.99953885	15.70376056	13.8988385	15.50865909	17.78170244	17.41551595	17.64679214	15.53404597	18.71664298	20.13803737	17.22893877
CD4	18.60743434	19.38938245	19.4883462	18.16628853	17.7907646	17.77925689	18.70355662	19.48370436	19.32208267	19.26005326	17.91210334	20.36734328	20.4449529	21.11543757
CXCL13	19.20154522	21.74004159	16.40088336	19.92403504	19.89944865	18.64397803	16.71029295	20.47565209	22.40385636	23.265659	19.48915391	21.91256319	22.77578729	21.51044181
PRF1	16.40055983	16.52977854	15.56203815	14.49777029	16.52552592	15.19429439	14.13426357	16.00450949	16.82324865	18.16932544	15.40586353	17.29553948	17.90515258	20.04170718
LAG3	17.17763769	15.87464074	16.56789088	15.87340897	17.26249152	16.98887071	15.78025551	16.38684282	18.81498629	19.29253915	16.70825707	18.56127303	18.70999803	21.20742344
HLA.DMA	20.39698043	20.73517662	21.09728191	19.70453206	19.3516662	19.74926215	20.74323705	21.57321258	21.29312801	20.96516826	19.60182014	22.97219653	23.06843191	21.55181569
CCR7	17.95987374	17.32299832	16.12731829	18.55118128	15.72696795	15.37800634	15.90293803	19.35598186	18.34585507	18.57869216	16.55205186	19.87327946	21.21545024	17.62486744
TNFRSF14	19.28223307	19.0370556	19.19317083	17.53763475	19.27106919	18.63252151	19.58761043	19.50759498	19.37362434	19.50395736	18.48040848	20.27307668	20.70244331	20.39252224
CD68	20.03293055	20.94515045	20.93467321	19.55902508	19.76717021	19.16164519	21.71811246	21.44504935	21.69742647	21.45710038	19.49594683	22.07660443	21.68670374	23.93284234
HLA.DOA	17.76876819	17.39291702	19.07690452	17.17311902	16.28090355	15.71242538	18.08154876	18.93181748	18.98583167	18.06256854	16.38881598	19.85322905	20.09944213	19.16588659
IRF9	22.25985515	20.65182691	21.59930608	20.4392733	21.3135283	21.36273437	21.95515165	22.0401334	21.43840679	22.92299284	21.03851199	22.19900389	22.57461529	21.93883881
CD40	18.0537916	18.21665308	17.99673418	16.05764181	17.62770632	16.71242538	16.24974079	17.60923525	19.11558196	18.61842992	16.79925784	18.18028738	18.61876278	19.5006475
HLA.DPB1	21.4842793	21.99668251	23.57603593	21.18957396	20.06908991	20.66018826	21.81296151	23.07475075	22.85996617	22.90711402	20.63961738	24.38117356	24.24079286	22.61627591
IL10	15.83139918	17.49949597	16.43330484	14.28364548	15.87281882	14.17637248	15.62730359	16.96925864	16.01497802	16.58641952	14.77761226	17.68192677	17.70193826	17.68145097
KIR2DL3	11.89593943	10.94052868	10.61952365	9.639789292	13.07926969	8.854444385	9.379376073	10.8246004	13.10808742	12.88597981	10.52450112	16.30093274	13.47008551	15.78836617
STAT5A	18.67598701	18.88388074	19.10736368	17.17700769	17.6379455	18.49468932	18.1475604	18.92394821	19.45799521	18.58641952	17.76988084	19.53976522	19.63366898	20.13835819
GNLY	16.67204342	16.24169821	17.21943649	18.06500519	20.57032107	16.45435723	16.87122917	17.21261769	19.1841904	20.23224728	18.36322783	21.07207725	20.89679166	20.91470191
IDO1	17.7161184	15.00353848	15.86745116	17.03210671	18.47273166	17.58236484	19.69904819	18.38302111	18.11408616	18.53782879	17.6957344	19.48987212	20.07156309	19.51239271
LAMP3	19.08576399	17.92758962	15.26337984	17.62278287	17.30680542	18.09284912	15.51892742	20.18434996	20.98909939	20.08237702	17.6741458	20.76719947	20.75353945	16.76237097
HLA.DQA2	8.57401134	11.71813626	9.619523646	10.44714421	8.172379097	8.854444385	14.40174389	12.28403202	13.41065019	11.52340973	9.157989231	13.32230639	13.22215799	10.98101125
ITGB2	19.04873129	20.06391109	20.9521197	17.56608529	18.29391261	18.21857904	19.48266388	20.20776466	20.20366027	20.01067555	18.02619231	20.88454881	21.01616764	22.15156229
CD74	21.05025125	20.59209296	22.02000287	20.04785361	20.34136454	19.80061963	21.41675143	21.48124871	21.53728491	21.60441755	20.06327926	22.62393707	22.70042203	22.4198031
HLA.DRA	23.73285767	24.8807505	25.35414066	23.49689554	22.61758798	23.31924537	24.76673713	25.478621	25.11861553	25.53155068	23.1445763	26.64057504	26.43376116	24.78120338
CORO1A	18.90268627	19.23646157	20.19883958	18.01808415	19.74176006	18.09045858	17.71029295	19.58615163	19.18774998	19.97226349	18.6167676	20.38459067	21.35818784	20.14591818
ITGAM	17.76630415	19.15345926	19.31996336	16.81969838	17.69397954	16.5197803	19.14921392	19.74122632	19.05450638	19.41736127	17.01115274	19.70040995	19.731933	19.97536469
IFIH1	18.6333558	17.6547742	17.25251884	17.99624126	19.06719686	18.42429999	19.21779215	18.54056239	18.94855066	19.89347434	18.4959127	20.47324829	20.96278204	18.8697545
CD274	18.11122974	18.69637003	15.51434141	15.29084098	17.01786915	16.07361291	18.55804092	18.19092261	17.96440919	19.98166985	16.12744101	18.43941469	18.28555308	18.94679554
IRF4	17.90044083	16.74050407	15.23423349	16.86379097	17.33979724	16.67462335	15.78876701	16.99952608	19.32273034	20.08510681	16.95940385	19.7913496	20.03031777	17.32086125
CD86	18.14006538	18.73029519	19.61599713	18.1682434	18.28090355	17.67781162	18.63440464	19.66852145	19.24422411	18.24157561	18.04231952	19.9593574	20.34369151	20.11286821
NCR3	13.52820765	13.30309876	8.619523646	14.1789481	8.172379097	9.854444385	10.96433857	15.07252791	15.75578568	16.52340973	10.73525719	15.64423448	16.52593874	10.98101125
FCGR1A	17.38136626	17.86109421	18.30427227	15.86379097	16.42504453	16.33017782	18.7620001	18.90408518	18.74229344	18.43886234	16.20633777	19.35637706	18.88393609	20.32530716
TNFRSF18	15.98340228	17.82491728	15.90492586	16.01482872	17.48071813	14.71242538	14.52912319	17.02427274	17.92400436	17.37426629	16.06932408	17.2404681	17.54858748	18.29389421
IL2	12.74393634	9.133173757	9.619523646	11.44714421	11.97973402	8.854444385	11.70130417	12.63195532	12.72475878	13.30101731	10.76044087	14.44429691	15.54408609	10.98101125
DDX58	21.10734107	19.95055719	20.48370979	20.23737633	20.04428433	21.06694077	20.93875316	21.10014296	20.61244298	23.24810628	20.44953381	22.27547575	22.00699729	21.14340258
BRCA2	19.27877958	18.12043777	17.43970261	18.44230566	18.01943644	19.24890708	17.33357238	19.48370436	19.68450878	19.35991099	18.57021639	18.50630657	19.08169278	18.30293935
IFI6	20.29980361	20.98804214	21.01264592	20.07780138	21.66948245	19.50010282	20.7325229	20.57446983	20.79761956	22.58844112	20.41579555	21.58301841	21.79296243	21.98593393
C1QB	22.46987059	23.64779536	24.65404322	21.59879504	21.966084	22.81462737	22.82439092	24.26900062	23.41087864	23.55540624	22.12650214	24.35114689	24.11327715	26.28011192
ZAP70	17.44129008	16.08154099	15.01184107	15.12360507	15.74980792	15.79695889	15.00873269	15.5794879	16.76343925	17.62594789	15.55679063	17.2846921	18.27472604	17.47286435
OAS3	19.87493583	18.56362631	19.46422941	18.39801251	19.47158712	18.67302656	19.32335599	18.98573228	19.71541774	19.63863921	18.84754206	20.3498872	20.18288399	20.25946071
ISG20	18.88462412	17.75522558	18.73846472	16.48527934	18.63078571	18.39940882	17.42377019	18.39065444	18.95691898	19.65048285	17.83849129	18.84402229	19.53504095	19.89689063
IFI44L	18.95879509	19.03931275	19.41880527	19.50165163	18.75075179	19.01809406	19.28401069	19.68024757	19.16264652	20.81145183	19.09016583	21.49664465	21.69154543	19.55844008
FOXP3	16.63470727	16.32793061	16.07895526	14.93441004	16.21129809	15.0041915	15.29823931	16.59938746	17.63998868	17.25521362	15.38329988	17.31699259	18.50292876	15.93520756
GZMH	17.75392043	15.60077931	16.51434141	15.40797362	16.93393033	16.54094491	16.0867352	15.8246004	17.26459191	19.74878933	16.29428295	19.11901407	19.24313793	19.71910351
CCR2	17.61018495	17.11045368	16.70698649	17.51015401	16.37205144	17.25958585	16.76308037	17.27581151	18.67693026	19.31131229	17.04726377	19.83475639	20.09867494	17.13075837
FASLG	15.30193179	13.71813626	13.94145174	14.94357004	15.42030661	14.24676181	14.54930107	13.8246004	15.52312492	18.19381307	14.87021282	18.36412656	18.03272963	18.16092034
TNF	16.42576038	15.92758962	17.1391599	14.35403481	15.60700732	14.9837274	16.44546526	16.51110093	15.44912434	16.90587936	14.98158984	17.46846322	18.00351771	19.1205626
CCR4	17.43819748	17.13035324	15.3474441	15.04918023	14.63181072	15.28070914	16.26811932	18.26546957	18.03408684	18.54101355	14.98723336	18.84771204	18.82207084	15.22893877
HLA.DQB2	9.57401134	9.133173757	9.619523646	7.639789292	9.172379097	8.854444385	8.379376073	8.8246004	11.20119683	9.716054805	8.555537591	14.27923767	14.392083	10.98101125
NFATC1	17.24996837	16.59669813	18.02466511	16.08687252	16.05502215	16.20317254	14.80564083	18.50055743	16.49121567	17.01067555	16.1150224	18.05821079	18.30962084	17.30293935
PRDM1	20.77429695	20.09389975	20.51054784	18.99458964	20.07060257	19.9837274	19.61299575	20.33783451	21.53742442	21.17471774	19.6829732	21.46786397	21.12189254	20.92205886
TNFSF10	20.8792181	19.36739244	20.50483871	21.52843742	19.73509852	18.84454835	20.80825962	21.14257822	22.81118351	21.60156053	20.0360281	20.76963276	21.12415618	20.10771572
GZMA	19.13625376	17.45058637	21.56002078	18.1886112	19.5299311	18.30771502	18.18994771	19.04860207	19.82644905	20.86325973	18.67541911	21.13721866	21.13766396	20.76400946
EIF2AK2	22.24012436	21.47149231	21.56642992	21.98422391	21.46829149	22.06830804	22.10346353	22.28275065	22.13064018	22.84622313	21.84027448	22.61854784	22.49900938	21.46381921
CX3CR1	11.43784315	9.779414383	12.97220273	10.60428454	10.82971825	10.47740766	9.379376072	12.48330316	11.03097372	11.60084451	10.63713682	13.21669545	12.5903307	10.98101125
CXCR6	15.82193885	14.01581681	13.52641424	16.04493075	15.96028166	14.96296884	14.94923168	15.51110093	16.58057519	17.87844613	15.65606042	18.78559033	18.59936852	15.93520756
TNFRSF17	15.75392043	12.88806126	12.61952365	17.35575128	14.74223471	15.94190723	16.53924741	15.901416	18.68198703	18.18976055	16.01329774	18.97293581	19.69991626	16.11029427
CIITA	21.24311785	20.93730478	21.06944606	19.9398558	19.78478689	20.75832623	20.48135174	21.75755329	21.07943937	21.14179523	20.16098964	22.59623908	22.75876948	20.82963419
CCR1	16.49882384	18.24039083	18.34914439	16.22098987	17.19196983	16.79108232	17.90880663	18.12380842	17.87185308	18.0379829	16.73468067	18.84955339	18.54858748	19.64278935
CXCL8	21.49900936	22.23990026	20.60962761	20.43643733	23.67995697	21.35279499	24.13447228	22.72801156	20.83578102	18.54736205	21.8230631	18.66947177	18.58629265	20.86212521
EGFR	22.9307384	22.3372099	21.67751537	19.91183582	19.57964686	19.47741133	21.89643027	22.11274552	22.75356573	21.59026774	19.656298	22.98993976	22.38706492	21.74006719
XAGE1B	8.57401134	22.3247728	8.619523646	12.68418341	22.03472587	8.854444385	12.90293803	25.13691615	14.94266381	20.87907544	14.52445122	19.97546759	20.35144101	20.78675512
OAS1	20.52820765	18.75979541	19.1253352	19.74373272	19.40539952	18.07119024	21.3058574	20.45213428	20.21661188	21.08646977	19.07344083	21.29587715	20.98702958	20.49276391
SH2D1A	16.32220419	13.59260538	14.01184107	17.1672663	15.5122291	15.0041915	15.29823931	16.79038468	17.99885835	18.82196331	15.8945623	18.94392736	18.80335858	14.30293935
AXL	17.45052829	17.54044152	19.15674205	15.72193833	17.65215936	17.62262871	17.13092013	18.13293943	19.50440678	17.29348363	16.9989088	18.47324829	18.54408609	20.43839213
CD40LG	16.85478211	13.08737007	13.86745116	16.86860798	12.97973402	13.85444438	15.8551095	16.06300514	16.39102139	16.77133724	14.56759546	17.89305503	18.17344271	15.37332867
CD47	21.54339786	21.22013926	22.00525126	21.12963725	20.19959398	22.73412335	22.199156	24.49334691	22.18694984	21.96590897	21.35445153	22.93354821	23.26090555	21.81152646
ICAM1	18.11122974	20.15137394	19.57080836	16.40466088	19.03888531	17.28489694	20.75712887	21.4434447	20.01297288	19.35177293	17.57614771	21.5755282	21.1059468	20.91470191
IL12B	13.78346471	11.71813626	10.20448615	13.44714421	8.172379097	8.854444385	12.83880769	13.14652849	14.37112183	13.6229454	10.15798923	16.27923767	15.12904859	10.98101125
IFIT1	19.34715055	18.84741927	19.75971435	19.77485724	19.46066844	18.97078835	19.43804432	19.47565209	19.39656903	20.64494324	19.40210468	21.20098846	21.34304384	19.21941599
GAGE13	8.57401134	8.133173757	8.619523646	7.639789292	9.172379097	8.854444385	8.379376073	12.731491	8.201196826	9.716054805	8.555537591	9.234843547	9.222157994	10.98101125
CD160	12.48090194	8.133173757	10.20448615	13.72725213	11.63181072	8.854444385	12.70130417	11.63195532	13.62746158	15.2079079	11.40450241	15.343368	15.93640351	10.98101125
IFIT2	18.93485842	19.11972691	19.40824198	18.90423189	19.66923287	18.37996519	19.778654	19.03039365	19.10883863	20.44014227	18.98447665	20.85597966	21.13654313	19.52017006
CD2	20.07036583	18.03856076	16.21198068	20.42544609	19.18360635	19.79475798	19.59672798	19.39635304	20.37955045	22.38604708	19.80127014	22.59115795	22.58752356	19.29842387
CXCR5	17.28825686	15.08737007	14.26337984	16.97517965	14.58177003	15.08326308	13.87122917	17.98194734	15.85940831	17.59563805	15.54673759	18.99139987	20.04153878	14.56597375
CMKLR1	10.57401134	9.718136258	8.619523646	12.76907231	12.25984194	13.8988385	11.18673099	11.4095629	12.00855175	12.7160548	12.97591758	13.23484355	13.61447542	14.56597375
FCGR3A	19.52456724	20.44265011	21.65569726	18.98574889	20.2674464	19.52863665	21.56052833	21.52048115	20.98173659	20.07030419	19.59394398	22.25147775	21.8246249	22.98523172
CSF1R	18.37005095	19.97866381	20.15722739	17.75353146	17.41317043	18.01179132	18.79511784	19.54056239	19.39656903	18.57092319	17.7261644	20.66686339	20.29362036	20.20017977
TLR3	15.48090194	14.90135808	14.1741125	15.49153833	15.96028166	15.88786739	17.55430176	17.22547984	16.81222162	17.50068965	15.77989579	18.39471488	18.23338525	14.56597375
STAT4	17.23578944	16.55943851	15.92330439	16.36088848	15.68807894	16.62923144	16.99776157	16.05341909	16.71689666	18.38671105	16.22606629	18.32760069	18.65261055	17.58092409
RB1	21.36293354	19.67958595	20.48409673	21.36281022	19.510001	19.81082054	20.70608643	20.9451623	21.95775315	21.94877551	20.22787725	21.35572939	21.15474186	20.01443425
ICOSLG	19.27358379	18.21798214	19.31649117	17.39634561	19.38669822	18.65048399	18.14424766	19.57781715	19.78709828	19.44142106	18.47784261	18.59239555	19.35658431	18.54325368
MMP9	18.74017442	23.23834567	22.55560943	19.16628853	17.70765447	21.19901771	16.66477829	21.23769938	20.90163654	21.26343137	19.35765357	24.94465434	24.35734621	20.86670762
IDO2	12.57401134	8.133173757	8.619523646	9.639789292	11.1723791	12.313876	8.379376073	9.8246004	12.10808742	12.52340973	11.0420148	12.55677164	14.83686784	10.98101125
IL22	8.57401134	8.133173757	8.619523646	7.639789292	8.172379097	8.854444385	8.379376073	8.8246004	8.201196826	8.716054805	8.222204258	9.234843547	9.222157994	10.98101125
CD79A	17.9812791	16.0096907	16.15868246	18.47820537	17.0732459	16.82598794	17.32481991	19.22227503	20.79785249	21.05032809	17.4591464	20.77787537	21.63260935	15.37332867
CX3CL1	19.06986637	15.05203699	17.902612	15.72725213	17.07626094	17.28070914	15.33357238	17.10537117	20.42187745	18.27256086	16.69474074	18.03250507	18.45817219	16.70893171
