group	ID	Activated_CD4_T_cell	Activated_CD8_T_cell	Activated_dendritic_cell	CD56bright_natural_killer_cell	Central_memory_CD4_T_cell	Central_memory_CD8_T_cell	Effector_memeory_CD4_T_cell	Effector_memeory_CD8_T_cell	Natural_killer_cell	Natural_killer_T_cell	Type_1_T_helper_cell	Type_17_T_helper_cell	CD56dim_natural_killer_cell	Immature_dendritic_cell	Macrophage	MDSC	Neutrophil	Plasmacytoid_dendritic_cell	Regulatory_T_cell	Type_2_T_helper_cell	Activated_B_cell	Eosinophil	Gamma_delta_T_cell	Immature__B_cell	Mast_cell	Memory_B_cell	Monocyte	T_follicular_helper_cell
non	TCGA.85.8276.01	0.206301645	0.665840578	-0.211769072	0.13181293	0.2451253	0.396955003	0.323117437	0.262774226	-0.808150747	0.157941238	0.891550894	-1.028161822	-0.931457587	-1.857343406	0.126278203	0.42748513	-1.961662332	0.972043174	0.122538821	-0.490289781	0.868650016	-0.137870399	-0.033194044	0.235224722	-1.021717322	0.649487607	-1.444281865	1.184469952
non	TCGA.85.8287.01	0.808765002	0.203233448	-0.169601886	-1.082302719	0.462870372	0.329831952	0.12260624	0.340157172	0.437139069	0.817702504	0.48091996	-1.586840783	-1.541612544	-1.79877543	0.01277653	0.493328162	-0.423981712	0.654926978	-0.087354157	-0.088310383	2	1.280249323	-0.999135911	0.555702799	0.061036085	-0.004288778	-0.820248053	-0.416467113
non	TCGA.85.8288.01	0.979260586	0.216586629	-0.450715144	0.574628692	-1.076355353	0.246526831	-0.05764855	0.60087636	1.272533897	1.859851978	0.333962757	0.322011726	-0.126884786	-0.199426891	-0.891743214	-1.572452508	-0.69812965	-0.473947401	-1.287235653	0.235848898	0.487662502	0.778334234	-1.560248781	0.081463188	-0.54361723	2	0.892540579	-1.468597023
non	TCGA.85.8351.01	-0.036560925	-0.301605918	-0.601045918	0.533468225	0.076711745	0.964910446	-0.140717002	-0.410512147	-0.226397769	0.554183952	-1.222791814	0.423144256	-0.647956681	0.738060687	-0.600435534	-0.677654285	0.267815496	-0.198201006	-0.230907247	0.112115498	-0.127108634	1.477544754	1.139263008	0.116564983	0.630940493	0.944552257	0.638129988	-1.064543779
non	TCGA.85.8352.01	0.985902154	1.409102775	-1.960910527	1.719545433	0.379668042	-1.601834144	1.439160499	-2	-0.803550625	1.269577436	-1.826216058	2	1.531115592	0.196425447	-1.403617384	-1.959250182	-2	0.554722284	-0.495080357	1.763118884	-0.637238277	1.308743744	2	-0.865748085	-2	0.287954013	0.843019978	-1.347268234
non	TCGA.85.8353.01	0.490460975	-0.699095209	-1.244614833	-0.629955291	-1.034072313	-0.858239363	1.121493245	0.355758896	0.630923253	1.334057931	1.414267208	-0.479523437	2	-0.750657957	-1.092086204	-0.658709014	-0.842435992	-0.573881601	-0.116325095	0.869781634	0.350838072	0.905887446	-0.990824599	-0.106844669	0.499022528	1.012434428	-1.07508124	0.792358437
non	TCGA.85.8354.01	1.242117745	0.578148282	-1.578123693	1.336332175	-1.208497848	-0.219158046	1.353326956	-0.317505714	-1.845037035	1.022904496	-1.424321973	0.717120579	1.692703359	0.034501401	-2	-1.604083447	-1.061390745	0.340979244	-0.710841281	1.928116308	-0.38120955	0.596327055	2	-2	0.28442169	0.741469254	0.119924124	-0.457655953
non	TCGA.85.8582.01	-0.526225597	-0.841933669	-2	-0.411600844	0.293408238	1.008010285	0.156165939	-0.066686799	0.07696102	1.549603561	1.31146106	-0.56247933	0.586345588	-1.028017226	0.126114733	0.272028032	0.037988578	1.25843572	-0.593749731	0.66510392	0.102098783	0.69179697	-0.165453359	-0.821826335	-0.07191354	0.8628269	-0.575538102	0.15258745
non	TCGA.85.8584.01	1.154559501	2	0.995460698	-0.328650124	0.855069758	-0.832561224	-0.728314288	0.971552675	0.158720999	-1.228800061	0.591432523	0.592939216	1.526389474	-1.078474389	0.488572651	0.433278062	0.306979682	-0.780219441	-0.95930359	-1.262235137	0.204356834	-0.379225212	-0.815968797	-0.348194337	-0.230335326	-0.561252207	0.433635865	-2
non	TCGA.85.A4CL.01	0.959828039	2	0.492329918	0.551389151	0.735200429	-0.367475055	0.273919565	-0.73932012	-1.685953768	0.274251168	0.303399135	-0.642318286	1.020850287	-0.18223467	0.070199171	1.087712377	-1.535269762	-0.651350825	-1.439902394	-0.786225621	0.535483866	0.530684239	-0.78363159	-0.567609739	-1.716903247	-0.415431124	0.573104436	-1.289562283
non	TCGA.85.A4CN.01	0.729805237	0.388050366	-1.241086128	0.213514372	-1.246789617	0.649835225	-0.084269467	-0.608517272	0.140776482	1.861107567	0.511547893	0.083954087	-0.381520207	0.426580524	-0.575312227	-0.780459034	-1.501759825	1.415758262	-1.095528437	1.412162982	-0.017680873	-0.752554222	-0.292721235	-1.114294591	-0.758915837	0.932514018	-0.109147521	0.532005011
non	TCGA.85.A4JB.01	0.334574395	0.416429113	-1.255951256	1.11241607	1.271708124	-0.267642306	-0.063809902	-1.694116454	0.186495825	0.863586026	-0.424466629	0.766796986	0.094067169	-0.432123248	-1.555196726	-0.378561603	0.805053415	2	-1.536427318	1.345246954	0.37000247	0.661281517	-0.019834335	-1.589127893	-0.067399797	0.970846519	-1.23806243	-1.399460524
non	TCGA.85.A4PA.01	2	2	0.098514734	-2	-2	-2	-0.555984754	2	-2	-0.730162487	1.414031466	-2	-1.976674423	-2	-0.932971545	1.151765923	-1.389545966	-2	0.004093526	-1.485378177	2	2	-2	2	-0.219057176	1.256952263	0.827568504	-0.714963282
non	TCGA.85.A4QQ.01	0.36988637	0.258471229	-0.980919107	1.222812	0.353628806	1.160427857	0.266195018	-0.746624082	-2	0.796455635	0.13089937	1.911807488	1.45432296	1.008890567	-1.234073965	-0.559781239	-0.556565064	0.200814273	-1.388770641	-0.780638573	-0.174559418	0.464671238	2	-0.591853988	-1.377928447	1.920362905	0.069645595	-1.279336109
non	TCGA.85.A50Z.01	0.326441879	1.686867865	-0.459578676	1.588883134	-0.144388533	0.182406466	-0.31452761	-0.797423357	-0.636834558	-0.35043196	-0.381987534	1.590909764	0.150204504	2	-0.497887893	-0.133748446	0.218363267	-0.202842178	-1.128924098	-0.063908284	0.397380968	-1.027093662	-0.517870198	-1.631552618	-1.200424904	-0.700034665	1.307574083	-1.098360035
non	TCGA.85.A510.01	2	2	0.633704923	1.009792036	-1.781756048	-0.546944481	1.325520174	-0.769598323	0.575106243	-1.368254553	-2	-0.765283904	0.606742367	-0.796853169	0.549168874	-0.119771398	-2	-1.084401509	-0.538549281	0.326140772	-0.908056912	2	-0.214739974	0.174663768	-0.155291191	-1.551086383	-1.244076644	0.646124646
non	TCGA.85.A511.01	0.794614369	-0.606080655	-0.408674832	0.310249292	-0.017865573	0.828868573	0.276401917	-0.132633076	0.738827478	1.470960274	0.743765743	0.009605635	-0.517072471	-0.788163836	-0.100753126	0.661093019	-1.262985421	-0.239893219	-0.855438152	0.197839339	0.44558847	-1.285926747	0.309690243	-0.819237113	-1.294021737	-0.414010165	-1.287157475	0.059516415
non	TCGA.85.A512.01	1.288267821	-0.37235159	-1.35546488	0.986687176	0.364045212	0.024155891	0.76424035	-0.774617896	-1.186705759	1.103100611	-0.942004311	1.026884611	-0.710687295	0.490257604	-0.74992327	-0.492135199	-1.113066915	-0.110233512	-0.920790971	1.710944034	0.221888914	0.873818527	-0.472338758	-1.093576541	-0.159615323	1.002291004	-1.655271151	-0.481665171
non	TCGA.85.A513.01	0.188639425	0.57655357	1.015075841	-1.114730498	1.497834537	-1.317869308	-0.770010509	1.676634404	-0.536703445	-1.652835949	0.344708472	-0.995337384	-0.474758556	-0.350615728	0.132378185	1.470855512	0.352284991	-0.238934327	-0.413847737	-1.405279549	1.55651303	1.241540828	-1.360993382	1.18838008	1.447078873	-1.869487688	-0.705190762	-0.282236773
non	TCGA.85.A53L.01	0.717458441	1.141026747	-1.506732654	1.330573693	0.349748305	-1.200395919	1.127920775	-1.938620772	-1.189526786	0.166015576	0.950992411	0.827686474	1.602770117	0.827377699	-0.940400153	-0.917122735	-0.393401213	-0.376821511	-1.284867885	0.977026285	-0.400741581	0.862785378	-0.390331026	-0.711291641	-0.102685163	1.002214136	0.249783787	-1.01597212
non	TCGA.90.6837.01	-0.071946881	-1.111438167	-0.433285105	-0.45078615	0.098869228	1.4482885	-1.807552642	-0.317749503	0.013215447	1.43370011	0.062864765	-0.609445043	0.184820573	-0.740915007	-0.060550661	1.782543454	-0.837644929	-0.210085299	0.881754073	-1.2985101	-0.046237755	-0.55037049	0.69023755	0.376135399	-0.096322285	0.890671594	-0.964120703	0.801829277
non	TCGA.90.7766.01	0.603705875	0.004917049	-0.165076754	0.182796573	-0.023035426	-0.656238538	2	1.090432726	-0.650935457	-1.128050451	-0.80309225	0.311711278	-0.764921992	-0.10090802	-0.091673688	0.584544466	-0.214595281	0.464938353	-0.22591969	-1.031718189	1.565083095	0.812789638	-0.392984045	0.934131417	-0.862304307	0.302520287	-0.128862592	-1.008874993
non	TCGA.90.7767.01	1.05287855	-0.273123547	-1.099017432	0.850491983	-2	0.350418491	0.240060749	0.910368907	0.229181054	0.485035399	2	-0.422366312	-0.641162827	-1.984139845	1.634474025	-0.896379863	-0.979590502	-0.458088235	-0.452594994	0.474866587	1.399003294	-0.330269294	-1.613606063	1.133189539	-0.889748684	1.324163626	-1.216461211	-0.570047554
non	TCGA.90.7964.01	-0.743096099	-0.714041446	-0.009482645	-0.224661179	0.306097078	1.233712965	0.128418584	0.485274888	-0.448637824	0.355555241	-1.129483476	-0.848418521	-0.200372144	1.154442871	0.262280697	0.554861153	0.620068238	0.420151874	0.727776677	0.062538013	-0.464906159	1.19970931	-0.316426133	0.128386049	-0.606190982	-0.473341285	-0.06148696	-0.291938946
non	TCGA.90.A4ED.01	0.183062798	-1.08748564	-0.805986018	0.998030459	-0.90401882	-0.696722821	-0.231473615	-0.522694331	0.189427552	1.359913248	-0.270154891	0.163360162	-0.890372526	0.768865314	0.298056204	-0.902844489	0.176178334	0.336108337	-0.46527493	-0.332696616	2	-0.144831276	0.883765144	-0.743023393	-0.633100786	0.262260931	-0.555922805	1.51631724
non	TCGA.90.A59Q.01	0.598821015	0.768317744	1.949132137	-1.207792527	1.45115756	-0.611239939	0.034008139	1.389320339	-0.097489849	-0.507584064	1.486296587	-0.466134184	-1.221402406	-0.591842652	-0.016840679	1.590985484	-0.595613672	-0.96704782	-0.175271267	-0.684826164	0.605721306	-1.231733423	-1.137184368	0.65211812	0.792688258	-0.455030107	-1.626028897	-2
non	TCGA.92.7340.01	-0.011962342	-0.057044838	-0.82572846	0.072680974	0.369293381	1.441069375	0.268975053	0.279795881	1.115935377	0.719404356	1.417057287	-0.571427672	-0.374692539	0.383207996	0.625477468	0.446034311	-0.721434329	-0.22882004	-0.575986158	-0.235001933	-1.288600566	-1.45172431	-0.910907069	-1.023912691	-0.544308609	1.437648483	-0.392344763	-0.4964792
non	TCGA.92.7341.01	0.567391641	-0.020413691	-1.367799132	0.748394982	-0.731049121	1.597486727	1.234481325	-0.782419902	-1.253164322	0.450546316	0.148018116	0.627385296	-0.135440148	0.061471434	-0.457068326	-0.296392988	-0.919000661	0.628002346	-0.067887155	1.119856379	-0.154241805	-1.018062849	1.137500975	-2	-1.288878399	1.229008601	-0.862362197	0.104686889
non	TCGA.92.8063.01	0.016697193	-1.092380014	-0.874988126	0.737222772	-1.513686867	-0.051524557	0.820421885	-1.15468348	0.199055327	1.488126465	0.118097745	1.40424201	0.455443034	1.7250975	-0.765613976	0.154040937	-0.862898127	1.482839237	-0.059969035	-0.493419356	-1.305263754	-0.713404428	0.82611773	-0.209553822	-1.433084562	1.315179007	-0.394334934	-1.015044502
non	TCGA.92.8064.01	1.492169704	1.846202943	-0.254308158	-0.372654851	-0.621563976	0.88290366	-0.956953494	1.413298009	-0.932418604	0.436348987	0.04091305	-1.542845557	-1.169161131	-1.668351653	0.265145225	0.363473442	-1.345821251	-0.433514722	0.257965567	-0.255771373	0.814646297	0.175814409	-0.627089044	1.09117687	0.040091115	0.800743917	-1.735210714	-1.078190066
non	TCGA.92.8065.01	-0.683064007	-0.557652817	0.752050468	0.880070278	0.754290683	0.808369057	-0.949809373	-0.529969633	-0.765654953	0.591561955	0.395410517	-0.571005468	0.016240936	0.499402523	-0.011981997	1.447314848	-0.421962416	-0.23702363	0.22554204	-1.953921464	-0.108464037	-1.231386034	1.111137291	1.240811741	-0.842615436	0.404627744	-0.637182508	-0.658321545
non	TCGA.94.7033.01	-0.057679483	0.256688466	-0.574487571	1.808818478	0.46382508	-0.035781284	0.395318356	-1.062303462	0.229692232	0.049894891	-1.307101724	2	1.2600238	0.671615845	0.170352442	-1.57544186	-1.225588347	0.387186655	-2	0.645057353	0.065892264	0.324546408	1.831798642	-1.067560119	0.135139723	0.400034608	1.025951394	-0.688782025
non	TCGA.94.7557.01	0.678080988	-0.638849225	0.180310874	0.552126135	-0.062736256	0.303613812	1.133053969	-0.632668993	-1.900258504	0.805087895	-1.386193782	-0.203937212	0.249494417	2	-0.422000438	0.162767463	-0.219961661	1.036036659	-0.081153549	-0.594856103	-0.114397133	0.37473026	-0.062519954	-0.20306568	-1.191814901	-0.100305172	0.437416274	-0.152658475
non	TCGA.94.8035.01	0.534889408	-0.82251407	-1.457659106	1.152453705	-0.762896329	0.088888028	0.119294961	-1.129713362	-0.74727835	1.60946241	-0.419412126	0.094498766	0.988009829	0.608487968	-1.604343623	-0.660566971	-0.459742418	0.602600419	-0.653090259	0.895061176	-0.613924127	0.857405905	1.769300341	-1.364946871	-0.249182719	0.990075937	0.852529621	-0.256043112
